Index,Agency,Agency category,Aid Flow category,Allocation 2015 - USD,Allocation 2016 - USD,Allocation 2017 - USD,Allocation 2018 - USD,Allocation 2019 - USD,Total 2015-19,Currency,Currency Conversion,2015 - Original Currency,2016 - Original Currency,2017 - Original Currency,2018 - Original Currency,2019 - Original Currency,Total 2015-19 OC
50,Saudi Arabia,Bilateral,Humanitarian,12342789,7446000,2404000,0,0,22192789,USD,1.00,12342789,7446000,2404000,,,22192789
51,Slovenia ,Bilateral,Humanitarian,0,32609,0,0,0,32609,USD,1.00,,32609,,,,32609
52,Somalia Humanitarian Fund ,Fund,Humanitarian,15950158,0,0,0,0,15950158,USD,1.00,15950158,,,,,
53,South Africa,Bilateral,Humanitarian,473530,0,0,0,0,473530,USD,1.00,473530,,,,,473530
54,Start Fund,Fund,Humanitarian,0,1546420,0,0,0,1546420,USD,1.00,,1546420,,,,1546420
55,Sweden,Bilateral,Development ,41545220,41486754,41419888,30000000,0,154451862,USD,1.00,41545220,41486754,41419888,30000000,,154451862
56,Sweden,Bilateral,Humanitarian,16711157,22225272,22445330,0,0,61381759,USD,1.00,16711157,22225272,22445330,,,61381759
57,Switzerland,Bilateral,Development ,11369898,10793000,10774000,10474000,10500000,53910898,CHF,1.00,11369898,10793000,10774000,10474000,10500000,53910898
58,Switzerland,Bilateral,Humanitarian,14393888,10500000,11063010,10500000,10500000,56956898,CHF,1.00,14393888,10500000,11063010,10500000,10500000,56956898
59,Turkey*,Bilateral,Development ,22008592,14000000,0,0,0,36008592,USD,1.00,22008592,14000000,,,,36008592
60,United Kingdom,Bilateral,Development ,129454286,95000000,92857143,110714286,110714286,538740000,GBP,0.70,90618000,66500000,65000000,77500000,77500000,377118000
61,United Kingdom,Bilateral,Humanitarian,60812181,103503025,154516849,57142857,57142857,433117769,GBP,0.70,42568527,72452118,108161794,40000000,40000000,303182439
62,UN Peacebuilding Fund (PBF),Fund,Development ,9799302,19253434,0,0,0,29052736,USD,1.00,9799302,19253434,,,,29052736
63,UN Peacebuilding Fund (PBF) ,Fund,Humanitarian,0,0,500000,0,0,500000,USD,1.00,,,500000,,,500000
64,UNDP,Multilateral,Development ,8700000,8380000,6022360,,,23102360,USD,1.00,8700000,8380000,6022360,,,23102360
65,UNICEF,Multilateral,Development ,10800492,14209012,0,0,0,25009504,USD,1.00,10800492,14209012,,,,25009504
66,UNICEF National Committees ,Multilateral,Humanitarian,475146,967500,106724,0,0,1549370,USD,1.00,475146,967500,106724,,,1549370
67,United Arab Emirates ,Bilateral,Humanitarian,619362,136129,0,0,0,755491,USD,1.00,619362,136129,,,,755491
68,United Nations Children Fund ,Fund,Humanitarian,489726,0,0,0,0,489726,USD,1.00,489726,,,,,489726
69,United Nations High Commissioner for Refugees,Multilateral,Humanitarian,1142291,2037039,0,0,0,3179330,USD,1.00,1142291,2037039,,,,3179330
70,United Nations Population Fund ,Multilateral,Humanitarian,0,146400,0,0,0,146400,USD,1.00,,146400,,,,146400
71,United States of America,Bilateral,Development ,33290833,71090000,79405000,0,0,183785833,USD,1.00,33290833,71090000,79405000,,,183785833
72,United States of America,Bilateral,Humanitarian,221065687,131000000,170000000,0,0,522065687,USD,1.00,221065687,131000000,170000000,,,522065687
73,United States of America,Bilateral,Peacekeeping,,126976713,42900000,0,0,169876713,USD,1.00,,126976713,42900000,,,169876713
74,"Various, details not yet provided ",Other,Humanitarian,223226,0,9050979,0,0,9274205,USD,1.00,223226,,9050979,,,9274205
75,World Bank State- and Peace-building fund (SPF),Fund,Development ,2000000,0,0,0,0,2000000,USD,1.00,2000000,,,,,2000000
76,World Food Programme ,Multilateral,Humanitarian,44921555,74938266,16264000,0,0,136123821,USD,1.00,44921555,74938266,16264000,,,136123821
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
